Cell,CNAclone
Clone2Cell955,2
Clone2Cell956,2
Clone2Cell957,2
Clone2Cell958,2
Clone2Cell959,2
Clone2Cell960,2
Clone2Cell961,2
Clone2Cell962,2
Clone2Cell963,2
Clone2Cell964,2
Clone2Cell965,2
Clone2Cell966,2
Clone2Cell967,2
Clone2Cell968,2
Clone2Cell969,2
Clone2Cell970,2
Clone2Cell971,2
Clone2Cell972,2
Clone2Cell973,2
Clone2Cell974,2
Clone2Cell975,2
Clone2Cell976,2
Clone2Cell977,2
Clone2Cell978,2
Clone2Cell979,2
Clone2Cell980,2
Clone2Cell981,2
Clone2Cell982,2
Clone2Cell983,2
Clone2Cell984,2
Clone2Cell985,2
Clone2Cell986,2
Clone2Cell987,2
Clone2Cell988,2
Clone2Cell989,2
Clone2Cell990,2
Clone2Cell991,2
Clone2Cell992,2
Clone2Cell993,2
Clone2Cell994,2
Clone2Cell995,2
Clone2Cell996,2
Clone2Cell997,2
Clone2Cell998,2
Clone2Cell999,2
Clone2Cell1000,2
Clone10Cell1,10
Clone10Cell2,10
Clone10Cell3,10
Clone10Cell4,10
Clone10Cell5,10
Clone10Cell6,10
Clone10Cell7,10
Clone10Cell8,10
Clone10Cell9,10
Clone10Cell10,10
Clone10Cell11,10
Clone10Cell12,10
Clone10Cell13,10
Clone10Cell14,10
Clone10Cell15,10
Clone10Cell16,10
Clone10Cell17,10
Clone10Cell18,10
Clone10Cell19,10
Clone10Cell20,10
Clone10Cell21,10
Clone10Cell22,10
Clone10Cell23,10
Clone10Cell24,10
Clone10Cell25,10
Clone10Cell26,10
Clone10Cell27,10
Clone10Cell28,10
Clone10Cell29,10
Clone10Cell30,10
Clone10Cell31,10
Clone10Cell32,10
Clone10Cell33,10
Clone10Cell34,10
Clone10Cell35,10
Clone10Cell36,10
Clone10Cell37,10
Clone10Cell38,10
Clone10Cell39,10
Clone10Cell40,10
Clone10Cell41,10
Clone10Cell42,10
Clone10Cell43,10
Clone10Cell44,10
Clone10Cell45,10
Clone10Cell46,10
Clone10Cell47,10
Clone10Cell48,10
Clone10Cell49,10
Clone10Cell50,10
Clone10Cell51,10
Clone10Cell52,10
Clone10Cell53,10
Clone10Cell54,10
Clone10Cell55,10
Clone10Cell56,10
Clone10Cell57,10
Clone10Cell58,10
Clone10Cell59,10
Clone10Cell60,10
Clone10Cell61,10
Clone10Cell62,10
Clone10Cell63,10
Clone10Cell64,10
Clone10Cell65,10
Clone10Cell66,10
Clone10Cell67,10
Clone10Cell68,10
Clone10Cell69,10
Clone10Cell70,10
Clone10Cell71,10
Clone10Cell72,10
Clone10Cell73,10
Clone10Cell74,10
Clone10Cell75,10
Clone10Cell76,10
Clone10Cell77,10
Clone10Cell78,10
Clone10Cell79,10
Clone10Cell80,10
Clone10Cell81,10
Clone10Cell82,10
Clone10Cell83,10
Clone10Cell84,10
Clone10Cell85,10
Clone10Cell86,10
Clone10Cell87,10
Clone10Cell88,10
Clone10Cell89,10
Clone10Cell90,10
Clone10Cell91,10
Clone10Cell92,10
Clone10Cell93,10
Clone10Cell94,10
Clone10Cell95,10
Clone10Cell96,10
Clone10Cell97,10
Clone10Cell98,10
Clone10Cell99,10
Clone10Cell100,10
Clone10Cell101,10
Clone10Cell102,10
Clone10Cell103,10
Clone10Cell104,10
Clone10Cell105,10
Clone10Cell106,10
Clone10Cell107,10
Clone10Cell108,10
Clone10Cell109,10
Clone10Cell110,10
Clone10Cell111,10
Clone10Cell112,10
Clone10Cell113,10
Clone10Cell114,10
Clone10Cell115,10
Clone10Cell116,10
Clone10Cell117,10
Clone10Cell118,10
Clone10Cell119,10
Clone10Cell120,10
Clone10Cell121,10
Clone10Cell122,10
Clone10Cell123,10
Clone10Cell124,10
Clone10Cell125,10
Clone10Cell126,10
Clone10Cell127,10
Clone10Cell128,10
Clone10Cell129,10
Clone10Cell130,10
Clone10Cell131,10
Clone10Cell132,10
Clone10Cell133,10
Clone10Cell134,10
Clone10Cell135,10
Clone10Cell136,10
Clone10Cell137,10
Clone10Cell138,10
Clone10Cell139,10
Clone10Cell140,10
Clone10Cell141,10
Clone10Cell142,10
Clone10Cell143,10
Clone10Cell144,10
Clone10Cell145,10
Clone10Cell146,10
Clone10Cell147,10
Clone10Cell148,10
Clone10Cell149,10
Clone10Cell150,10
Clone10Cell151,10
Clone10Cell152,10
Clone10Cell153,10
Clone10Cell154,10
Clone10Cell155,10
Clone10Cell156,10
Clone10Cell157,10
Clone10Cell158,10
Clone10Cell159,10
Clone10Cell160,10
Clone10Cell161,10
Clone10Cell162,10
Clone10Cell163,10
Clone10Cell164,10
Clone10Cell165,10
Clone10Cell166,10
Clone10Cell167,10
Clone10Cell168,10
Clone10Cell169,10
Clone10Cell170,10
Clone10Cell171,10
Clone10Cell172,10
Clone10Cell173,10
Clone10Cell174,10
Clone10Cell175,10
Clone10Cell176,10
Clone10Cell177,10
Clone10Cell178,10
Clone10Cell179,10
Clone10Cell180,10
Clone10Cell181,10
Clone10Cell182,10
Clone10Cell183,10
Clone10Cell184,10
Clone10Cell185,10
Clone10Cell186,10
Clone10Cell187,10
Clone10Cell188,10
Clone10Cell189,10
Clone10Cell190,10
Clone10Cell191,10
Clone10Cell192,10
Clone10Cell193,10
Clone10Cell194,10
Clone10Cell195,10
Clone10Cell196,10
Clone10Cell197,10
Clone10Cell198,10
Clone10Cell199,10
Clone10Cell200,10
Clone10Cell201,10
Clone10Cell202,10
Clone10Cell203,10
Clone10Cell204,10
Clone10Cell205,10
Clone10Cell206,10
Clone10Cell207,10
Clone10Cell208,10
Clone10Cell209,10
Clone10Cell210,10
Clone10Cell211,10
Clone10Cell212,10
Clone10Cell213,10
Clone10Cell214,10
Clone10Cell215,10
Clone10Cell216,10
Clone10Cell217,10
Clone10Cell218,10
Clone10Cell219,10
Clone10Cell220,10
Clone10Cell221,10
Clone10Cell222,10
Clone10Cell223,10
Clone10Cell224,10
Clone10Cell225,10
Clone10Cell226,10
Clone10Cell227,10
Clone10Cell228,10
Clone10Cell229,10
Clone10Cell230,10
Clone10Cell231,10
Clone10Cell232,10
Clone10Cell233,10
Clone10Cell234,10
Clone10Cell235,10
Clone10Cell236,10
Clone10Cell237,10
Clone10Cell238,10
Clone10Cell239,10
Clone10Cell240,10
Clone10Cell241,10
Clone10Cell242,10
Clone10Cell243,10
Clone10Cell244,10
Clone10Cell245,10
Clone10Cell246,10
Clone10Cell247,10
Clone10Cell248,10
Clone10Cell249,10
Clone10Cell250,10
Clone10Cell251,10
Clone10Cell252,10
Clone10Cell253,10
Clone10Cell254,10
Clone10Cell255,10
Clone10Cell256,10
Clone10Cell257,10
Clone10Cell258,10
Clone10Cell259,10
Clone10Cell260,10
Clone10Cell261,10
Clone10Cell262,10
Clone10Cell263,10
Clone10Cell264,10
Clone10Cell265,10
Clone10Cell266,10
Clone10Cell267,10
Clone10Cell268,10
